Name,Specialization,ID,school,year,Generation,advisor_id
Shalev Ben-David,algorithms-and-complexity,251553,['Massachusetts Institute of Technology'],['2017'],0,109495
Therese Biedl,algorithms-and-complexity,96437,"['Rutgers University, New Brunswick']",['1997'],0,96436
Eric Blais,algorithms-and-complexity,162538,['Carnegie Mellon University'],['2012'],0,76794
Dan Brown,algorithms-and-complexity,45379,['Cornell University'],['2000'],0,36705
Trevor Brown,algorithms-and-complexity,252543,['University of Toronto'],['2017'],0,67145
Jonathan Buss,algorithms-and-complexity,65073,['Massachusetts Institute of Technology'],['1986'],0,64971
Richard Cleve,algorithms-and-complexity,81270,['University of Toronto'],['1989'],0,81229
Gautam Kamath,algorithms-and-complexity,264772,['Massachusetts Institute of Technology'],['2018'],0,139732
Lila Kari,algorithms-and-complexity,20521,['Turun yliopisto'],['1991'],0,20493
Lap Chi Lau,algorithms-and-complexity,141559,['University of Toronto'],['2006'],0,40420
Ming Li,algorithms-and-complexity,94793,['Cornell University'],['1985'],0,10404
Anna Lubiw,algorithms-and-complexity,65035,['University of Toronto'],['1985'],0,16108;14011
Ian Munro,algorithms-and-complexity,65036,['University of Toronto'],['1971'],0,42043
Naomi Nishimura,algorithms-and-complexity,66900,['University of Toronto'],['nto'],0,67145
Prabhakar Ragde,algorithms-and-complexity,66895,"['University of California, Berkeley']",['1986'],0,82100;25275
Jeffrey Shallit,algorithms-and-complexity,31748,"['University of California, Berkeley']",['1983'],0,13373;6595
Doug Stinson,algorithms-and-complexity,33044,['University of Waterloo'],['1981'],0,33040
John Watrous,algorithms-and-complexity,75330,['University of Wisconsin-Madison'],['1998'],0,11563
Scott Joel Aaronson,algorithms-and-complexity,109495,"University of California, Berkeley",2004,1,38686
Endre  Boros,algorithms-and-complexity,96436,Eötvös Loránd University,1985,1,34817
Ryan William O'Donnell,algorithms-and-complexity,76794,Massachusetts Institute of Technology,2003,1,72850
David Bernard Shmoys,algorithms-and-complexity,36705,"University of California, Berkeley",1984,1,25276
Faith (Fich) Ellen,algorithms-and-complexity,67145,"University of California, Berkeley",1982,1,25275
Michael Fredric Sipser,algorithms-and-complexity,64971,"University of California, Berkeley",1980,1,13373
Charles Weill Rackoff,algorithms-and-complexity,81229,Massachusetts Institute of Technology,1974,1,25184
Constantinos  Daskalakis,algorithms-and-complexity,139732,"University of California, Berkeley",2008,1,46289
Arto K. Salomaa,algorithms-and-complexity,20493,Turun yliopisto,1960,1,20538
Michael Sean O'Brien Molloy,algorithms-and-complexity,40420,Carnegie Mellon University,1994,1,40794
Juris  Hartmanis,algorithms-and-complexity,10404,California Institute of Technology,1955,1,10395
Rudolf Anton Mathon,algorithms-and-complexity,16108,University of Toronto,1972,1,44303
Stephen Arthur Cook,algorithms-and-complexity,14011,Harvard University,1966,1,29869
Allan Bertram Borodin,algorithms-and-complexity,42043,Cornell University,1969,1,9041;10404;
Avi  Wigderson,algorithms-and-complexity,82100,Princeton University,1983,1,69524
Richard Manning Karp,algorithms-and-complexity,25275,Harvard University,1959,1,13305
Manuel  Blum,algorithms-and-complexity,13373,Massachusetts Institute of Technology,1964,1,6869
David M. Goldschmidt,algorithms-and-complexity,6595,The University of Chicago,1969,1,6488
Ronald C. Mullin,algorithms-and-complexity,33040,University of Waterloo,1964,1,15096
C. Eric (Carl) Bach,algorithms-and-complexity,11563,"University of California, Berkeley",1984,1,13373
Umesh Virkumar Vazirani,algorithms-and-complexity,38686,"University of California, Berkeley",1986,2,13373
András  Prékopa,algorithms-and-complexity,34817,Hungarian Academy of Sciences,1956,2,51155
Madhu  Sudan,algorithms-and-complexity,72850,"University of California, Berkeley",1992,2,38686
Eugene Leighton Lawler,algorithms-and-complexity,25276,Harvard University,1963,2,13305
Albert Ronald da Silva Meyer,algorithms-and-complexity,25184,Harvard University,1972,2,13297
Christos H. Papadimitriou,algorithms-and-complexity,46289,Princeton University,1976,2,82018
Kustaa  Inkeri,algorithms-and-complexity,20538,Turun yliopisto,1946,2,19460
Alan M. Frieze,algorithms-and-complexity,40794,University of London,1975,2,76964
Robert Palmer Dilworth,algorithms-and-complexity,10395,California Institute of Technology,1939,2,10385
Robert Laurence Johnston,algorithms-and-complexity,44303,Case Western Reserve University,1965,2,2675
Hao  Wang,algorithms-and-complexity,29869,Harvard University,1948,2,73831
Robert Lee Constable,algorithms-and-complexity,9041,University of Wisconsin-Madison,1968,2,8012
Richard Jay Lipton,algorithms-and-complexity,69524,Carnegie Mellon University,1973,2,86340
Anthony Gervin Oettinger,algorithms-and-complexity,13305,Harvard University,1954,2,18953
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,2,8581
John Griggs Thompson,algorithms-and-complexity,6488,The University of Chicago,1959,2,834
William Thomas Tutte,algorithms-and-complexity,15096,University of Cambridge,1948,2,1406
Alfréd  Rényi,algorithms-and-complexity,51155,University of Szeged,1945,3,44401;11321;
Patrick Carl Fischer,algorithms-and-complexity,13297,Massachusetts Institute of Technology,1962,3,8021
Kenneth  Steiglitz,algorithms-and-complexity,82018,New York University,1963,3,98916
Kalle  Väisälä,algorithms-and-complexity,19460,Helsingin yliopisto,1916,3,782
Keith  Wolfenden,algorithms-and-complexity,76964,University of Oxford,1949,3,None
Morgan  Ward,algorithms-and-complexity,10385,California Institute of Technology,1928,3,7868
Richard Steven Varga,algorithms-and-complexity,2675,Harvard University,1954,3,4929
Willard Van Orman Quine,algorithms-and-complexity,73831,Harvard University,1932,3,78732
Stephen Cole Kleene,algorithms-and-complexity,8012,Princeton University,1934,3,8011
David Lorge Parnas,algorithms-and-complexity,86340,Carnegie Mellon University,1965,3,90571;13112;
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,3,25248
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,3,7461
Saunders  Mac Lane,algorithms-and-complexity,834,Georg-August-Universität Göttingen,1934,3,7863;7373;
Shaun  Wylie,algorithms-and-complexity,1406,Princeton University,1937,3,7461
Yuri Vladimirovich Linnik,algorithms-and-complexity,44401,St. Petersburg State University,1940,4,83078
Frigyes (Frédéric) Riesz,algorithms-and-complexity,11321,Eötvös Loránd University,1902,4,107016
"Hartley  Rogers, Jr.",algorithms-and-complexity,8021,Princeton University,1952,4,8011
Sheldon Shou-Lien Chang,algorithms-and-complexity,98916,Purdue University,1947,4,111345
Ernst Leonard Lindelöf,algorithms-and-complexity,782,Helsingin yliopisto,1893,4,143865
Eric Temple Bell,algorithms-and-complexity,7868,Columbia University,1912,4,37346;7611;
Joseph Leonard Walsh,algorithms-and-complexity,4929,Harvard University,1920,4,7431;5879;
Alfred North Whitehead,algorithms-and-complexity,78732,University of Cambridge,1884,4,101929
Alonzo  Church,algorithms-and-complexity,8011,Princeton University,1927,4,805
Everard Mott Williams,algorithms-and-complexity,90571,Yale University,1939,4,252402
Alan Jay Perlis,algorithms-and-complexity,13112,Massachusetts Institute of Technology,1950,4,1488
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,4,141987
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,4,7451
I.  Paul (Isaak) Bernays,algorithms-and-complexity,7863,Georg-August-Universität Göttingen,1912,4,7862
Hermann Claus Hugo Weyl,algorithms-and-complexity,7373,Georg-August-Universität Göttingen,1908,4,7298
Vladimir Abramovich Tartakovski,algorithms-and-complexity,83078,St. Petersburg State University,1928,5,74408
Gyula  Vályi,algorithms-and-complexity,107016,,1881,5,90711
Robert Peer Siskind,algorithms-and-complexity,111345,Harvard University,1925,5,None
Robert Hjalmar Mellin,algorithms-and-complexity,143865,Helsingin yliopisto,1882,5,19770
Cassius Jackson Keyser,algorithms-and-complexity,37346,Columbia University,1902,5,None
Frank Nelson Cole,algorithms-and-complexity,7611,Harvard University,1886,5,7401
Maxime  Bôcher,algorithms-and-complexity,7431,Georg-August-Universität Göttingen,1891,5,7401
George David Birkhoff,algorithms-and-complexity,5879,The University of Chicago,1907,5,806
Edward John Routh,algorithms-and-complexity,101929,University of Cambridge,1857,5,42016;129420;
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,5,806
Francis Thomas McNamara,algorithms-and-complexity,252402,Yale University,1924,5,None
Philip  Franklin,algorithms-and-complexity,1488,Princeton University,1921,5,805
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,5,67041
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,5,32858;18589;
Edmund  Landau,algorithms-and-complexity,7862,Universität Berlin,1899,5,4642;11370;
David  Hilbert,algorithms-and-complexity,7298,Universität Königsberg,1885,5,7404
Boris Nikolaevich Delone,algorithms-and-complexity,74408,Kiev State University,ity,6,12544;73323;
Moritz  Réthy,algorithms-and-complexity,90711,Ruprecht-Karls-Universität Heidelberg,1874,6,18336
Gösta Magnus Mittag-Leffler,algorithms-and-complexity,19770,Uppsala Universitet,1872,6,24894
